Name main company,Name Airport,Distance,Latitude,Longitude
Wetpaint,Seattle Airport Taxi,798,47.610302,-122.333493
Digg,Korean Air,2221,37.772572,-122.417785
Twitter,Korean Air,476,37.772572,-122.417785
StumbleUpon,Korean Air,317,37.772572,-122.417785
Scribd,Korean Air,2247,37.772572,-122.417785
MeetMoi,Aer Lingus,1054,40.751417,-73.976395
Powerset,Korean Air,2086,37.772572,-122.417785
Technorati,Korean Air,2307,37.772572,-122.417785
Kyte,Korean Air,1923,37.772572,-122.417785
Thoof,JetOptions Private Jets,273,30.267368,-97.742834
Info,British Airways Plc,393,41.886626,-87.626875
Meetup,Mrssi,2469,40.748164,-73.992953
Wesabe,Korean Air,2648,37.772572,-122.417785
Prosper,Korean Air,2333,37.772572,-122.417785
Livestream,Mrssi,2456,40.748164,-73.992953
Pando Networks,New York Helicopter,2496,40.701605,-74.009143
CastTV,Korean Air,2283,37.772572,-122.417785
EQO,Cathay Pacific Airways,1565,49.265734,-123.117226
Mashery,Korean Air,2026,37.772572,-122.417785
Yelp,Korean Air,2040,37.772572,-122.417785
Wakoopa,Jet Aviation Amsterdam (GAT),9067,52.313248,4.806649
KickApps,Aer Lingus,668,40.751417,-73.976395
Netvibes,Aqualine,2663,48.868805,2.382988
Bebo,Korean Air,1807,37.772572,-122.417785
FeedBurner,Triumph Jets,13,41.889415,-87.628765
Dogster,Korean Air,1845,37.772572,-122.417785
Loomia,Korean Air,2880,37.772572,-122.417785
Eventbrite,Korean Air,2499,37.772572,-122.417785
iLike,Seattle Airport Taxi,938,47.610302,-122.333493
GigaOM,Korean Air,317,37.772572,-122.417785
Redfin,Seattle Airport Taxi,798,47.610302,-122.333493
Seesmic,Korean Air,317,37.772572,-122.417785
Flixster,Korean Air,1161,37.772572,-122.417785
Piczo,Korean Air,2896,37.772572,-122.417785
Spreadshirt,Southwest Airlines,420,40.441704,-80.003269
hi5,Korean Air,2342,37.772572,-122.417785
Tagged,Korean Air,311,37.772572,-122.417785
ScanScout,Us Airways,1420,42.328311,-71.05503
Going,Turkish Airlines,695,42.355742,-71.052399
eBuddy,Jet Aviation Amsterdam (GAT),8089,52.313248,4.806649
Grockit,Korean Air,317,37.772572,-122.417785
Crackle,Santa Monica Airport (SMO),4240,34.017532,-118.447537
Snapfish,Korean Air,2347,37.772572,-122.417785
Revver,C & A Auto Clinic,4699,34.031219,-118.199107
TokBox,Korean Air,2499,37.772572,-122.417785
Yola,Korean Air,2843,37.772572,-122.417785
DanceJam,Korean Air,1319,37.772572,-122.417785
Inneractive,Supershuttle Transportation,6345,37.600375,-122.379084
Veotag,Aer Lingus,782,40.751417,-73.976395
Kiva,Korean Air,1192,37.772572,-122.417785
Fathom Online,Korean Air,317,37.772572,-122.417785
Hitwise,South African Airways,131,-37.81543,144.963332
BlueLithium,Rainbow Travel,3170,37.349049,-121.948199
Heavy,Mrssi,644,40.748164,-73.992953
MocoSpace,Turkish Airlines,801,42.355742,-71.052399
TestFreaks,Tap Air Portugal,464,59.335651,18.064645
Tacoda,Aer Lingus,1054,40.751417,-73.976395
Thumbplay,Mrssi,2553,40.748164,-73.992953
Fotolog,Aer Lingus,1054,40.751417,-73.976395
Xfire,Atlantic Aviation,4218,34.016863,-118.453035
Ooyala,A-1 Cab Co.,3134,37.414309,-122.091214
AdMob,Supershuttle Transportation,6302,37.600375,-122.379084
PubMatic,Advantage Aviation,3813,37.453927,-122.114322
Social Project,Cirrus Aircraft,3915,34.011775,-118.453497
RatePoint,Delta Air Lines,8153,42.351663,-71.173689
Avvo,Seattle Airport Taxi,462,47.610302,-122.333493
Animoto,Mrssi,2163,40.748164,-73.992953
GamerDNA,Transportation-New England,2954,42.353414,-71.138733
RingCentral,San Carlos Airport (SQL),5860,37.515328,-122.250563
Moz,Kenmore Air Harbor,1045,47.628586,-122.339842
Mobivox,Ligne Aerienne Cubana,67,45.50075,-73.56062
3Jam,Korean Air,1437,37.772572,-122.417785
Zimbra,San Carlos Airport (SQL),5630,37.515328,-122.250563
Treemo Labs,Kenmore Air Harbor,1045,47.628586,-122.339842
Tabblo,Turkish Airlines,503,42.355742,-71.052399
Tumblr,Mrssi,922,40.748164,-73.992953
Radar Networks,Korean Air,1759,37.772572,-122.417785
