Name main company,Name Airport,Distance,Latitude,Longitude
Wetpaint,Hangar 7979,8494,47.530613,-122.29753
Twitter,Half Moon Bay Airport (HAF),30142,37.513993,-122.494989
StumbleUpon,Half Moon Bay Airport (HAF),29923,37.513993,-122.494989
Scribd,Half Moon Bay Airport (HAF),31798,37.513993,-122.494989
MeetMoi,JF Terminal 4,4959,40.72111,-73.951905
Kyte,Half Moon Bay Airport (HAF),31563,37.513993,-122.494989
Thoof,Abia Cargo Lot,9507,30.215116,-97.667888
Info,Southwest Airlines Operations,14363,41.791403,-87.741074
Meetup,JF Terminal 4,3721,40.72111,-73.951905
Wesabe,Half Moon Bay Airport (HAF),32208,37.513993,-122.494989
Prosper,Half Moon Bay Airport (HAF),31845,37.513993,-122.494989
Livestream,JF Terminal 4,3715,40.72111,-73.951905
Pando Networks,JF Terminal 4,3939,40.72111,-73.951905
EQO,Seair Seaplanes,3344,49.288394,-123.116969
Mashery,Half Moon Bay Airport (HAF),31529,37.513993,-122.494989
Yelp,Half Moon Bay Airport (HAF),31468,37.513993,-122.494989
KickApps,JF Terminal 4,4341,40.72111,-73.951905
Bebo,Half Moon Bay Airport (HAF),31056,37.513993,-122.494989
FeedBurner,Southwest Airlines Operations,14317,41.791403,-87.741074
Loomia,Half Moon Bay Airport (HAF),32508,37.513993,-122.494989
iLike,Hangar 7979,9612,47.530613,-122.29753
GigaOM,Half Moon Bay Airport (HAF),29923,37.513993,-122.494989
Redfin,Hangar 7979,8494,47.530613,-122.29753
Seesmic,Half Moon Bay Airport (HAF),29923,37.513993,-122.494989
Piczo,Half Moon Bay Airport (HAF),32360,37.513993,-122.494989
hi5,Half Moon Bay Airport (HAF),31772,37.513993,-122.494989
Tagged,Half Moon Bay Airport (HAF),29946,37.513993,-122.494989
eBuddy,Panorama Terrace (Panoramaterras),10544,52.308629,4.765441
Grockit,Half Moon Bay Airport (HAF),29923,37.513993,-122.494989
Snapfish,Half Moon Bay Airport (HAF),31529,37.513993,-122.494989
Yola,Half Moon Bay Airport (HAF),32154,37.513993,-122.494989
DanceJam,Half Moon Bay Airport (HAF),30843,37.513993,-122.494989
Veotag,JF Terminal 4,4513,40.72111,-73.951905
Fathom Online,Half Moon Bay Airport (HAF),29923,37.513993,-122.494989
Heavy,JF Terminal 4,4775,40.72111,-73.951905
MocoSpace,Jet Blue Cargo,3038,42.359594,-71.024193
Tacoda,JF Terminal 4,4959,40.72111,-73.951905
Thumbplay,JF Terminal 4,3852,40.72111,-73.951905
Fotolog,JF Terminal 4,4959,40.72111,-73.951905
Xfire,Tom Bradley International Arrivals,11775,33.943254,-118.408391
Social Project,Tom Bradley International Arrivals,10986,33.943254,-118.408391
Avvo,Hangar 7979,9416,47.530613,-122.29753
Animoto,JF Terminal 4,4161,40.72111,-73.951905
Moz,Hangar 7979,10695,47.530613,-122.29753
Treemo Labs,Hangar 7979,10695,47.530613,-122.29753
Tabblo,Satellite Concourse A,2684,42.362996,-71.024561
Tumblr,JF Terminal 4,3659,40.72111,-73.951905
Radar Networks,Half Moon Bay Airport (HAF),30402,37.513993,-122.494989
Eurekster,Half Moon Bay Airport (HAF),31992,37.513993,-122.494989
Faves,Hangar 7979,8557,47.530613,-122.29753
BrightRoll,Half Moon Bay Airport (HAF),32401,37.513993,-122.494989
Casero,Toronto Centre TCA,17554,43.675557,-79.591588
Yodle,JF Terminal 4,4100,40.72111,-73.951905
betNOW,NetJets - Private Luxury Jet Terminal,11557,51.504813,0.040514
eyeOS,Terminal Corporativa,11004,41.308392,2.087503
Jott,Hangar 7979,9537,47.530613,-122.29753
Twenga,Universal Aviation France,12304,48.937578,2.428935
ideeli,JF Terminal 4,5036,40.72111,-73.951905
Roost,Half Moon Bay Airport (HAF),31788,37.513993,-122.494989
Oddcast,JF Terminal 4,4623,40.72111,-73.951905
Escapia,Hangar 7979,9822,47.530613,-122.29753
TheLadders,JF Terminal 4,4594,40.72111,-73.951905
fotopedia,Universal Aviation France,12304,48.937578,2.428935
doubleTwist,Half Moon Bay Airport (HAF),29923,37.513993,-122.494989
MediaTrust,JF Terminal 4,3688,40.72111,-73.951905
EVO Media Group,Hangar 7979,9822,47.530613,-122.29753
SendMe,Half Moon Bay Airport (HAF),31671,37.513993,-122.494989
Tiny Pictures,Half Moon Bay Airport (HAF),30806,37.513993,-122.494989
Evri,Hangar 7979,10695,47.530613,-122.29753
Sportgenic,Half Moon Bay Airport (HAF),31959,37.513993,-122.494989
crowdSPRING,DuPage Airport (DPA),49498,41.906709,-88.254967
99designs,Half Moon Bay Airport (HAF),32508,37.513993,-122.494989
PacketFront,Grafair Jet center,6772,59.354088,17.952492
Skimlinks,NetJets - Private Luxury Jet Terminal,8857,51.504813,0.040514
PI Corporation,Hangar 7979,8404,47.530613,-122.29753
The FeedRoom,JF Terminal 4,4720,40.72111,-73.951905
Giant Realm,JF Terminal 4,4713,40.72111,-73.951905
Next New Networks,JF Terminal 4,3659,40.72111,-73.951905
Monitor110,JF Terminal 4,3652,40.72111,-73.951905
iovation,Departures,178,No results,No results
Spongecell,No results,No results,37.513993,-122.494989
MADS,Half Moon Bay Airport (HAF),30150,52.308629,4.765441
RichRelevance,Panorama Terrace (Panoramaterras),10671,37.513993,-122.494989
Comcast,Half Moon Bay Airport (HAF),32344,39.882089,-75.237022
GitHub,Concourse 3,9951,37.513993,-122.494989
Salesconx,Half Moon Bay Airport (HAF),29923,40.72111,-73.951905
UserVoice,JF Terminal 4,5037,37.355679,-121.928097
Modern Feed,HP Hangar,43168,34.19637,-118.351833
Retail Convergence,Terminal A,12325,42.362996,-71.024561
TerraPass,Satellite Concourse A,2684,37.513993,-122.494989
Transpera,Half Moon Bay Airport (HAF),31705,37.513993,-122.494989
Aruspex,Half Moon Bay Airport (HAF),31362,37.513993,-122.494989
Epic Advertising,Half Moon Bay Airport (HAF),31923,40.72111,-73.951905
Practice Fusion,JF Terminal 4,4753,37.513993,-122.494989
Bambuser,Half Moon Bay Airport (HAF),31960,59.354088,17.952492
WideOrbit,Grafair Jet center,6772,37.513993,-122.494989
Blueprint Software Systems,Half Moon Bay Airport (HAF),32155,43.675557,-79.591588
Photobucket,Toronto Centre TCA,17139,47.530613,-122.29753
ON24,Hangar 7979,8327,37.513993,-122.494989
Streetline,Half Moon Bay Airport (HAF),31385,37.513993,-122.494989
