Name main company,Pet hairdresser,Distance,Latitude,Longitude
Wetpaint,Seattle Pet Nanny,340,47.60553,-122.330435
Twitter,Wag Hotels San Francisco,924,37.768475,-122.414103
StumbleUpon,The Dog Barber,763,37.770428,-122.424897
Scribd,Tefani & So. Dogcare,508,37.787193,-122.39915
MeetMoi,Parker's Doghouse,489,40.757705,-73.991319
Kyte,Benny & Suki’s,631,37.788525,-122.416362
Thoof,Dirty Dog,483,30.269416,-97.749971
Info,Pet Ego,455,41.881915,-87.624653
Meetup,Happy Paws,93,40.725445,-73.995202
Wesabe,Tefani & So. Dogcare,726,37.787193,-122.39915
Prosper,Tefani & So. Dogcare,411,37.787193,-122.39915
Livestream,Happy Paws,101,40.725445,-73.995202
Pando Networks,Two Dogs & A Goat Inc.,385,40.720155,-73.99556
EQO,Spa Dog Organic Dog Spa,142,49.262745,-123.137084
Mashery,Tefani & So. Dogcare,408,37.787193,-122.39915
Yelp,Tefani & So. Dogcare,290,37.787193,-122.39915
Wakoopa,No results,No results,No results,No results
KickApps,Pet Central Madison Avenue,408,40.748176,-73.982515
Netvibes,No results,No results,No results,No results
Bebo,Doggie Day Spaw,389,37.778665,-122.40259
FeedBurner,PUPS Pet Club,640,41.890962,-87.636026
Loomia,Doggie Day Spaw,535,37.799227,-122.409681
iLike,Tails Of The City,449,47.615815,-122.317454
GigaOM,The Dog Barber,763,37.770428,-122.424897
Redfin,Seattle Pet Nanny,340,47.60553,-122.330435
Seesmic,The Dog Barber,763,37.770428,-122.424897
Piczo,Tefani & So. Dogcare,725,37.787193,-122.39915
hi5,Tefani & So. Dogcare,205,37.787193,-122.39915
Tagged,The Dog Barber,809,37.770428,-122.424897
Going,No results,No results,No results,No results
eBuddy,Artemis Hondentrimsalon,984,52.356596,4.899665
Grockit,The Dog Barber,763,37.770428,-122.424897
Snapfish,Tefani & So. Dogcare,283,37.787193,-122.39915
Revver,Muttrcool,661,34.047393,-118.23916
Yola,Tefani & So. Dogcare,542,37.787193,-122.39915
DanceJam,Doggie Day Spaw,565,37.778665,-122.40259
Veotag,Pet Central Madison Avenue,576,40.748176,-73.982515
Kiva,SF Hound Lounge,257,37.762849,-122.411621
Fathom Online,The Dog Barber,763,37.770428,-122.424897
Hitwise,Pet Home Direct AU,839,-37.806747,144.962094
BlueLithium,Lush Spaw,667,37.314554,-121.949275
Heavy,Parker's Doghouse,500,40.757705,-73.991319
MocoSpace,Doggie Daytrippers,969,42.344104,-71.067112
TestFreaks,No results,No results,No results,No results
Tacoda,Parker's Doghouse,489,40.757705,-73.991319
Thumbplay,Happy Paws,188,40.725445,-73.995202
Fotolog,Parker's Doghouse,489,40.757705,-73.991319
Xfire,L A Love & Leashes,969,34.024524,-118.491279
PubMatic,Piccadilly Pets,144,37.447671,-122.157628
Social Project,Animal Kingdom,763,34.008891,-118.487848
