Name main company,Name School,Distance,Latitude,Longitude
Wetpaint,Desi Job Corps,38,47.602782,-122.333348
Digg,Knowmia,284,37.762918,-122.396822
Twitter,Codeplace,37,37.776687,-122.416523
StumbleUpon,New Conservatory Childrens Theatre Co & School,70,37.775656,-122.419759
Scribd,Glovys Childcare & Educational Academy,75,37.790308,-122.404137
MeetMoi,Trinity School,13,40.75792,-73.985342
Powerset,K9playtime,72,37.778163,-122.395894
Technorati,Mirimichi Performance & Learning,124,37.778733,-122.393992
Kyte,The Writers Studio,52,37.788929,-122.409361
Thoof,Texas Education Agency,120,30.269194,-97.744068
Info,Arcotech Uniexpat,23,41.885439,-87.62245
Meetup,After School Productions,16,40.726185,-73.995756
Wesabe,PowerScore Test Preparation,57,37.792945,-122.403166
Prosper,Academy X,46,37.789913,-122.402034
Livestream,After School Productions,11,40.726185,-73.995756
Pando Networks,NYC Photo Workshops,38,40.72261,-73.998278
CastTV,"The Art of Charm, Inc.",56,37.78031,-122.3943
EQO,Canada AEG Education Services Centre,36,49.263445,-123.138117
Mashery,School Loop,116,37.787294,-122.405106
Yelp,Cozymeal,47,37.786603,-122.402128
Wakoopa,Beleggingsinstituut B.V.,60,52.374455,4.89575
KickApps,Tepeyac Technology Center,41,40.751409,-73.984694
Netvibes,Fnc Concours,39,48.870451,2.346733
Bebo,AltSchool Yerba Buena,17,37.781815,-122.401127
FeedBurner,Chicago Super Sitters,6,41.889454,-87.628833
Dogster,J Villalobos Consulting,16,37.762549,-122.400996
Loomia,Kai Ming,12,37.796351,-122.404995
Eventbrite,Cheap Assignment Help,117,37.780322,-122.389855
iLike,Middle College High School,194,47.616354,-122.321323
GigaOM,New Conservatory Childrens Theatre Co & School,70,37.775656,-122.419759
Redfin,Desi Job Corps,38,47.602782,-122.333348
Seesmic,New Conservatory Childrens Theatre Co & School,70,37.775656,-122.419759
Flixster,Kiril Hristov Studio,81,37.767388,-122.407373
Piczo,H2kinfosys,89,37.792912,-122.398268
Spreadshirt,Communities In Schools,152,40.43897,-80.002943
hi5,Converse International School of Languages,71,37.789022,-122.401363
Tagged,Writing Corps,108,37.775759,-122.419694
ScanScout,City Auto School,159,42.339598,-71.051776
