Name main company,Basketball stadium,Distance,Latitude,Longitude
Wetpaint,Wilkinson-Gilligan Gymnasium,9576,47.689423,-122.336106
Twitter,Chase Center Stadium,2772,37.767935,-122.387335
StumbleUpon,Chase Center Stadium,2904,37.767935,-122.387335
Scribd,Chase Center Stadium,2824,37.767935,-122.387335
MeetMoi,Madison Square Garden,1045,40.750775,-73.994148
Kyte,Chase Center Stadium,2980,37.767935,-122.387335
Thoof,Texas School For The Deaf Basketball Gym,1874,30.252934,-97.752254
Info,Chicago Bulls Front Office,4279,41.88106,-87.673481
Meetup,Madison Square Garden,2752,40.750775,-73.994148
Wesabe,Chase Center Stadium,3107,37.767935,-122.387335
Prosper,Chase Center Stadium,2769,37.767935,-122.387335
Livestream,Madison Square Garden,2738,40.750775,-73.994148
Pando Networks,Madison Square Garden,3152,40.750775,-73.994148
EQO,BC Place,2400,49.276611,-123.112151
Mashery,Chase Center Stadium,2573,37.767935,-122.387335
Yelp,Chase Center Stadium,2412,37.767935,-122.387335
KickApps,Madison Square Garden,781,40.750775,-73.994148
Bebo,Chase Center Stadium,1985,37.767935,-122.387335
FeedBurner,Chicago Bulls Front Office,3819,41.88106,-87.673481
Loomia,Chase Center Stadium,3519,37.767935,-122.387335
iLike,Wilkinson-Gilligan Gymnasium,8274,47.689423,-122.336106
GigaOM,Chase Center Stadium,2904,37.767935,-122.387335
Redfin,Wilkinson-Gilligan Gymnasium,9576,47.689423,-122.336106
Seesmic,Chase Center Stadium,2904,37.767935,-122.387335
Piczo,Chase Center Stadium,3029,37.767935,-122.387335
hi5,Chase Center Stadium,2582,37.767935,-122.387335
Tagged,Chase Center Stadium,2857,37.767935,-122.387335
eBuddy,De Goudsmithal,8642,52.290268,4.851903
Grockit,Chase Center Stadium,2904,37.767935,-122.387335
Snapfish,Chase Center Stadium,2124,37.767935,-122.387335
Revver,STAPLES Center,2410,34.043101,-118.267071
Yola,Chase Center Stadium,2677,37.767935,-122.387335
DanceJam,Chase Center Stadium,2357,37.767935,-122.387335
Veotag,Madison Square Garden,723,40.750775,-73.994148
Kiva,Chase Center Stadium,2476,37.767935,-122.387335
Fathom Online,Chase Center Stadium,2904,37.767935,-122.387335
Hitwise,Coburg Basketball Stadium,9098,-37.733224,144.977077
BlueLithium,Avaya Stadium,3997,37.351157,-121.924774
Heavy,Madison Square Garden,441,40.750775,-73.994148
MocoSpace,Coca Cola Suite,1795,42.366273,-71.060351
Tacoda,Madison Square Garden,1045,40.750775,-73.994148
Thumbplay,Madison Square Garden,2831,40.750775,-73.994148
Fotolog,Madison Square Garden,1045,40.750775,-73.994148
Xfire,Paulley Pavillon,7654,34.070903,-118.445082
PubMatic,Sports House Indoor Sports and Cafe,5257,37.476549,-122.202839
Social Project,Paulley Pavillon,8205,34.070903,-118.445082
Avvo,Wilkinson-Gilligan Gymnasium,8768,47.689423,-122.336106
Animoto,Madison Square Garden,2429,40.750775,-73.994148
Moz,Wilkinson-Gilligan Gymnasium,7667,47.689423,-122.336106
Treemo Labs,Wilkinson-Gilligan Gymnasium,7667,47.689423,-122.336106
Tabblo,Coca Cola Suite,913,42.366273,-71.060351
Tumblr,Madison Square Garden,1136,40.750775,-73.994148
Radar Networks,Chase Center Stadium,1244,37.767935,-122.387335
Eurekster,Chase Center Stadium,2865,37.767935,-122.387335
Faves,Wilkinson-Gilligan Gymnasium,9551,47.689423,-122.336106
BrightRoll,Chase Center Stadium,3209,37.767935,-122.387335
Casero,Scotiabank Arena,780,43.643485,-79.379209
Yodle,Madison Square Garden,932,40.750775,-73.994148
betNOW,Lord's Cricket Ground (MCC),3779,51.528484,-0.172888
eyeOS,Palau Blaugrana,4226,41.380163,2.120141
Jott,Wilkinson-Gilligan Gymnasium,8394,47.689423,-122.336106
Twenga,Gymnase cange,3659,48.833584,2.315533
