Name main company,Name Starbucks,Distance,Latitude,Longitude
Wetpaint,Starbucks,236,47.604417,-122.330754
Digg,Starbucks,289,37.767121,-122.393738
Twitter,Starbucks,45,37.77705,-122.417333
StumbleUpon,Starbucks,225,37.777119,-122.419416
Scribd,Starbucks,131,37.790646,-122.403868
MeetMoi,Starbucks,149,40.75672,-73.985819
Powerset,Starbucks,226,37.777025,-122.393676
Technorati,Starbucks,286,37.777025,-122.393676
Kyte,Starbucks,97,37.789098,-122.408438
Thoof,Starbucks,236,30.268304,-97.743102
Info,Starbucks,154,41.886133,-87.624176
Meetup,Starbucks,129,40.727217,-73.995491
Wesabe,Starbucks,136,37.79291,-122.40429
Prosper,Starbucks,46,37.789599,-122.401872
Livestream,Starbucks,116,40.727217,-73.995491
Pando Networks,Starbucks,60,40.7225,-73.997903
CastTV,Starbucks,410,37.777025,-122.393676
EQO,Starbucks,54,49.263347,-123.138839
Mashery,Starbucks,195,37.786145,-122.405612
Yelp,Starbucks,212,37.787664,-122.401113
Yapta,No results,No results,No results,No results
Wakoopa,Starbucks,39,52.374201,4.89425
KickApps,Starbucks,174,40.752961,-73.985148
Netvibes,Starbucks,27,48.870622,2.346923
Slide,No results,No results,No results,No results
Bebo,Starbucks,345,37.784199,-122.404135
FeedBurner,Starbucks,210,41.890159,-87.631277
Dogster,Starbucks,419,37.765899,-122.403343
Loomia,Starbucks,276,37.794601,-122.402669
Eventbrite,Starbucks,379,37.777025,-122.393676
iLike,Starbucks,216,47.613093,-122.321088
GigaOM,Starbucks,225,37.777119,-122.419416
Redfin,Starbucks,236,47.604417,-122.330754
Seesmic,Starbucks,225,37.777119,-122.419416
GoingOn,No results,No results,No results,No results
Flixster,Starbucks,241,37.766742,-122.409414
Piczo,Starbucks,133,37.793025,-122.39978
Spreadshirt,Starbucks,306,40.44022,-80.002192
hi5,Starbucks,99,37.787664,-122.401113
Tagged,Starbucks,225,37.777119,-122.419416
ScanScout,Starbucks,445,42.342408,-71.056904
Going,Starbucks,6,42.355573,-71.061009
eBuddy,Starbucks,165,52.365566,4.892496
Grockit,Starbucks,225,37.777119,-122.419416
PeerMe,No results,No results,No results,No results
CollegeWikis,No results,No results,No results,No results
Crackle,Starbucks,353,34.017337,-118.405269
Hotswap,No results,No results,No results,No results
Snapfish,Starbucks,402,37.788371,-122.393555
Revver,Starbucks,156,34.050974,-118.242268
TokBox,Starbucks,379,37.777025,-122.393676
Sampa,No results,No results,No results,No results
Yola,Starbucks Reserve,55,37.791487,-122.395101
DanceJam,Starbucks,289,37.784144,-122.407429
Inneractive,Starbucks,213,37.562901,-122.323951
Veotag,Starbucks,34,40.752961,-73.985148
GoFish,No results,No results,No results,No results
Kiva,Starbucks,383,37.762898,-122.410549
Fathom Online,Starbucks,225,37.777119,-122.419416
Hitwise,Starbucks,53,-37.814779,144.963166
